employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,manager_id,department_id
100,Steven,King,steven.king@example.com,515.123.4567,2003-06-17,AD_PRES,24000.00,,90
101,Neena,Kochhar,neena.kochhar@example.com,515.123.4568,2005-09-21,AD_VP,17000.00,100,90
102,Lex,De Haan,lex.dehaan@example.com,515.123.4569,2001-01-13,AD_VP,17000.00,100,90
103,Alexander,Hunold,alexander.hunold@example.com,590.423.4567,2006-01-03,IT_PROG,9000.00,102,60
104,Bruce,Ernst,bruce.ernst@example.com,590.423.4568,2007-05-21,IT_PROG,6000.00,103,60
105,David,Austin,david.austin@example.com,590.423.4569,2005-06-25,IT_PROG,4800.00,103,60
106,Valli,Pataballa,valli.pataballa@example.com,590.423.4560,2006-02-05,IT_PROG,4800.00,103,60
107,Diana,Lorentz,diana.lorentz@example.com,590.423.5567,2007-02-07,IT_PROG,4200.00,103,60
108,Nancy,Greenberg,nancy.greenberg@example.com,515.124.4569,2002-08-17,FI_MGR,12000.00,101,100
109,Daniel,Faviet,daniel.faviet@example.com,515.124.4169,2002-08-16,FI_ACCOUNT,9000.00,108,100
110,John,Chen,john.chen@example.com,515.124.4269,2005-09-28,FI_ACCOUNT,8200.00,108,100
